"show_1","show_2","distance"
"Inu X Boku Secret Service","Ouran High School Host Club","0.633800414515711"
"Ouran High School Host Club","Inu X Boku Secret Service","0.633800414515711"
"Inu X Boku Secret Service","Maid Sama!","0.504559023117743"
"Maid Sama!","Inu X Boku Secret Service","0.504559023117743"
"Inu X Boku Secret Service","My Little Monster","0.479481323879722"
"My Little Monster","Inu X Boku Secret Service","0.479481323879722"
"Inu X Boku Secret Service","Bleach","0.70117177542907"
"Bleach","Inu X Boku Secret Service","0.70117177542907"
"Inu X Boku Secret Service","Chobits","0.71365237391537"
"Chobits","Inu X Boku Secret Service","0.71365237391537"
"Inu X Boku Secret Service","Kimi ni Todoke: From Me to You","0.56156452866203"
"Kimi ni Todoke: From Me to You","Inu X Boku Secret Service","0.56156452866203"
"Inu X Boku Secret Service","Naruto: Shippuden","0.81097535423699"
"Naruto: Shippuden","Inu X Boku Secret Service","0.81097535423699"
"Inu X Boku Secret Service","Toradora!","0.559456654901593"
"Toradora!","Inu X Boku Secret Service","0.559456654901593"
"Inu X Boku Secret Service","Beelzebub","0.678500930501559"
"Beelzebub","Inu X Boku Secret Service","0.678500930501559"
"Inu X Boku Secret Service","Fruits Basket","0.700035351031254"
"Fruits Basket","Inu X Boku Secret Service","0.700035351031254"
"Inu X Boku Secret Service","One Piece","1"
"One Piece","Inu X Boku Secret Service","1"
"Inu X Boku Secret Service","InuYasha","0.745393027772077"
"InuYasha","Inu X Boku Secret Service","0.745393027772077"
"Inu X Boku Secret Service","Accel World","0.622429165308661"
"Accel World","Inu X Boku Secret Service","0.622429165308661"
"Inu X Boku Secret Service","Bakuman.","0.650504265080382"
"Bakuman.","Inu X Boku Secret Service","0.650504265080382"
"Inu X Boku Secret Service","K-ON! Season 2","0.654388066415953"
"K-ON! Season 2","Inu X Boku Secret Service","0.654388066415953"
"Inu X Boku Secret Service","Fairy Tail","0.661294333768558"
"Fairy Tail","Inu X Boku Secret Service","0.661294333768558"
"Inu X Boku Secret Service","","0.666190264607928"
"","Inu X Boku Secret Service","0.666190264607928"
"Inu X Boku Secret Service","The Devil is a Part-Timer!","0.562737037093185"
"The Devil is a Part-Timer!","Inu X Boku Secret Service","0.562737037093185"
"Inu X Boku Secret Service","Darker than Black","0.684902983923246"
"Darker than Black","Inu X Boku Secret Service","0.684902983923246"
"Inu X Boku Secret Service","School Days","0.679998665631266"
"School Days","Inu X Boku Secret Service","0.679998665631266"
"Inu X Boku Secret Service","Ergo Proxy","0.790947224856859"
"Ergo Proxy","Inu X Boku Secret Service","0.790947224856859"
"Inu X Boku Secret Service","Black Butler II","0.6245538708844"
"Black Butler II","Inu X Boku Secret Service","0.6245538708844"
"Inu X Boku Secret Service","Hunter x Hunter","0.739313407907725"
"Hunter x Hunter","Inu X Boku Secret Service","0.739313407907725"
"Inu X Boku Secret Service","OreImo","0.588756768310564"
"OreImo","Inu X Boku Secret Service","0.588756768310564"
"Inu X Boku Secret Service","Seraph of the End: Battle in Nagoya","0.679460219389048"
"Seraph of the End: Battle in Nagoya","Inu X Boku Secret Service","0.679460219389048"
"Inu X Boku Secret Service","Kuroko&#039;s Basketball 2","0.674287913626642"
"Kuroko&#039;s Basketball 2","Inu X Boku Secret Service","0.674287913626642"
"Inu X Boku Secret Service","Haikyu!! 2nd Season","0.72297390641359"
"Haikyu!! 2nd Season","Inu X Boku Secret Service","0.72297390641359"
"Inu X Boku Secret Service","Vampire Knight","0.625135490207369"
"Vampire Knight","Inu X Boku Secret Service","0.625135490207369"
"Inu X Boku Secret Service","My Neighbor Totoro","0.730282009841101"
"My Neighbor Totoro","Inu X Boku Secret Service","0.730282009841101"
"Inu X Boku Secret Service","The Seven Deadly Sins","0.68083959763706"
"The Seven Deadly Sins","Inu X Boku Secret Service","0.68083959763706"
"Inu X Boku Secret Service","Dragon Ball Z","0.775098374947304"
"Dragon Ball Z","Inu X Boku Secret Service","0.775098374947304"
