"show_1","show_2","distance"
"Bleach","Naruto: Shippuden","0.761729045861887"
"Naruto: Shippuden","Bleach","0.761729045861887"
"Bleach","Toradora!","0.768632970260678"
"Toradora!","Bleach","0.768632970260678"
"Bleach","Fairy Tail","0.624324908187514"
"Fairy Tail","Bleach","0.624324908187514"
"Bleach","Tokyo Ghoul","0.709002844622127"
"Tokyo Ghoul","Bleach","0.709002844622127"
"Bleach","Fullmetal Alchemist: Brotherhood","0.681533537433899"
"Fullmetal Alchemist: Brotherhood","Bleach","0.681533537433899"
"Bleach","Steins;Gate","0.731445668831643"
"Steins;Gate","Bleach","0.731445668831643"
"Bleach","Naruto","0.66140291426635"
"Naruto","Bleach","0.66140291426635"
"Bleach","Sword Art Online II","0.727431008966658"
"Sword Art Online II","Bleach","0.727431008966658"
"Bleach","Blue Exorcist","0.666092673763306"
"Blue Exorcist","Bleach","0.666092673763306"
"Bleach","Akame ga Kill!","0.715545755237045"
"Akame ga Kill!","Bleach","0.715545755237045"
"Bleach","Sword Art Online","0.6952765692977"
"Sword Art Online","Bleach","0.6952765692977"
"Bleach","Noragami: Stray God","0.727982434740181"
"Noragami: Stray God","Bleach","0.727982434740181"
"Bleach","No Game, No Life","0.727293318233296"
"No Game, No Life","Bleach","0.727293318233296"
"Bleach","Code Geass: Lelouch of the Rebellion R2","0.72553121935273"
"Code Geass: Lelouch of the Rebellion R2","Bleach","0.72553121935273"
"Bleach","Death Note","0.738156463257838"
"Death Note","Bleach","0.738156463257838"
"Bleach","Attack on Titan","0.697264662395269"
"Attack on Titan","Bleach","0.697264662395269"
"Bleach","Soul Eater","0.712793941809486"
"Soul Eater","Bleach","0.712793941809486"
"Bleach","Elfen Lied","0.764709346840214"
"Elfen Lied","Bleach","0.764709346840214"
"Bleach","One Punch Man","0.718697829716194"
"One Punch Man","Bleach","0.718697829716194"
"Bleach","The Future Diary","0.717675403373001"
"The Future Diary","Bleach","0.717675403373001"
"Bleach","Fullmetal Alchemist","0.742419259356706"
"Fullmetal Alchemist","Bleach","0.742419259356706"
"Bleach","Gurren Lagann","0.763731854985776"
"Gurren Lagann","Bleach","0.763731854985776"
"Bleach","Angel Beats!","0.745869154319859"
"Angel Beats!","Bleach","0.745869154319859"
"Bleach","Code Geass: Lelouch of the Rebellion","0.730278836987607"
"Code Geass: Lelouch of the Rebellion","Bleach","0.730278836987607"
"Naruto: Shippuden","Toradora!","0.871587259100642"
"Toradora!","Naruto: Shippuden","0.871587259100642"
"Naruto: Shippuden","Fairy Tail","0.762762762762763"
"Fairy Tail","Naruto: Shippuden","0.762762762762763"
"Naruto: Shippuden","Tokyo Ghoul","0.788649180914869"
"Tokyo Ghoul","Naruto: Shippuden","0.788649180914869"
"Naruto: Shippuden","Fullmetal Alchemist: Brotherhood","0.832403066160601"
"Fullmetal Alchemist: Brotherhood","Naruto: Shippuden","0.832403066160601"
"Naruto: Shippuden","Steins;Gate","0.841997376188914"
"Steins;Gate","Naruto: Shippuden","0.841997376188914"
"Naruto: Shippuden","Naruto","0.784028904291402"
